Author,Rating,Title,Date,Body
Nice Product,5.0 out of 5 stars,5.0•Nice Product,"Reviewed in India on · Oct, 2013","I have purchased this product second time. Good product by eveready, easy to use. Good light and good backup.   Thanks for Flipkart for quick delivery before estimated time."
Good product,5.0 out of 5 stars,5.0•Good product,"Reviewed in India on · Apr, 2013",First of all thank you Flipkart for delivering the product on time. It is a nice product.  Pros ----- 1. Brightness is awesome. 2. Compact design 3. Light weight 4. Torch is also very good 5. Long bat...
"Sujal  Kumar, Patna",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · Aug, 2020",Most light in it
"SHAKTI YADAV, Purnia",5.0 out of 5 stars,5.0•Perfect product!,"Reviewed in India on · Nov, 2019",nice product
"Pritesh Bhandari, Valsad",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · Jul, 2018",good battery .
"Rintu Saikh, Berhampore",5.0 out of 5 stars,5.0•Wonderful !!,"Reviewed in India on · Jul, 2018","Light quality is good , Battery life is too good . Only lighting area is small compare to others , otherwise its very good at this price 1064/-"
Everyready...,3.0 out of 5 stars,3.0•Everyready...,"Reviewed in India on · Apr, 2013",After reading all the reviews bought this product...its value for money. Atleast its better than buying local or Chinese emergency light which goes kapot in 2-3 months   Good: 1. LED light is very bri...
VERY USEFUL DURING POWER CUTS,5.0 out of 5 stars,5.0•VERY USEFUL DURING POWER CUTS,"Reviewed in India on · Jul, 2015",ONE MUST HAVE IN HOME VERY BEAUTIFUL DESIGN GOOD LOOKING NICE FINISH. VERY MUCH USEFUL IN RAINY SEASON DURING POWER CUTS AND LONG BATTERY BACK UP.CAN EVEN USE AS TORCH. SWITCH BUTTONS SEEMS LIKE DELIC...
"Flipkart Customer, Pune District",5.0 out of 5 stars,5.0•Classy product,"Reviewed in India on · Oct, 2018",Product received as expected and before expected date.. Happy with flipkart service and product .
"Roger Mendes, Panaji",3.0 out of 5 stars,3.0•Fair,"Reviewed in India on · Aug, 2017","Bright LED light & touch. Backup is good. Problem with the rotating front headlight is it it will stop working when you try to lift up, I think the problem is with design which is not flexible enough...."
"mohan chennai, Chennai",4.0 out of 5 stars,4.0•Pretty good,"Reviewed in India on · Aug, 2018","First time I felt happy with Flipkart purchase... delivered on time and the light is built with sturdy plastic body and brightness also very good.. have two switches , one is for torch and other is fo..."
