Author,Rating,Title,Date,Body
"Shabna M A, Ernakulam",3.0 out of 5 stars,3.0•Nice,Reviewed in India on · 3 months ago,"Emergency light is too good, but torch light is very bad"
"Ashutosh Anand, Madhubani District",4.0 out of 5 stars,4.0•Good quality product,Reviewed in India on · 3 months ago,Nice design jhkaas lights
"SUBHAM  Bera, Kolkata",5.0 out of 5 stars,5.0•Worth every penny,Reviewed in India on · 3 months ago,Too bright
"Dipush Patel, Ranchi District",1.0 out of 5 stars,1.0•Unsatisfactory,Reviewed in India on · 3 months ago,Very bad
"Flipkart Customer, Pune",1.0 out of 5 stars,1.0•Waste of money!,Reviewed in India on · 3 months ago,Big size
"Thendral M, Vettavalam",2.0 out of 5 stars,2.0•Not good,Reviewed in India on · 3 months ago,Battery capacity low
"Tusar Roy, South Twenty Four Parganas District",3.0 out of 5 stars,3.0•Good,Reviewed in India on · 3 months ago,Battery is not good.1.30 hours backup do not buy this product.
"Sandeep Thakur, Riico Industrial Area Khushkhera",5.0 out of 5 stars,5.0•Wonderful,Reviewed in India on · 3 months ago,Very nice 👍
"Flipkart Customer, Palakkad District",4.0 out of 5 stars,4.0•Very Good,Reviewed in India on · 3 months ago,overall good product
"Flipkart Customer, Robertsonpet",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 3 months ago,Good
"Ravi  Upadhyay, Bhavnagar",4.0 out of 5 stars,4.0•Pretty good,Reviewed in India on · 3 months ago,Nice
"Syed Hussain, Nagapattinam",3.0 out of 5 stars,3.0•Decent product,Reviewed in India on Decent product,Good
"Rakesh Medhi, Marigaon",4.0 out of 5 stars,4.0•Good quality product,"Reviewed in India on , Marigaon",Nice product
"Jyoti Ram, Pune",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 3 months ago,Great product must buy
"DASARATH BASUMATARY, West Champaran",5.0 out of 5 stars,5.0•Great product,Reviewed in India on · 3 months ago,Nice
"Masanam  C, Chennai",3.0 out of 5 stars,3.0•Decent product,Reviewed in India on Decent product,Not bad
"Chakri, Sri Sathya Sai",3.0 out of 5 stars,3.0•Just okay,Reviewed in India on · 4 months ago,Battery power back up is low
"Flipkart Customer, Malavalli",5.0 out of 5 stars,5.0•Excellent,Reviewed in India on · 4 months ago,Best quality
"Rks R kumaresan, Salem",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 4 months ago,Valu of product.valu for money
"KHUSHI CHOURAKOTI, Nainital",4.0 out of 5 stars,4.0•Good quality product,Reviewed in India on · 4 months ago,Lookwise it is good. It's a week
"sudam  soren, Musabani",2.0 out of 5 stars,2.0•Moderate,Reviewed in India on · 4 months ago,Product is very bad quality
"Arup Bera, Howrah",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 4 months ago,Good
"Flipkart Customer, Madhepura",1.0 out of 5 stars,1.0•Very poor,Reviewed in India on · 4 months ago,It takes so much time for charging but not give upto1.5 hour light
"Mangsiantung Zou, Churachandpur",4.0 out of 5 stars,4.0•Good quality product,Reviewed in India on · 4 months ago,Good but size kind of a big
"Benjamin Misao, Zenhang Lamka",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 4 months ago,The design looks perfect. The brightness of the light is way more than I expected. Thanks alot
"Kondepudi Venkat, East Godavari District",5.0 out of 5 stars,5.0•Just wow!,Reviewed in India on · 4 months ago,Good
"Disha Roy, North Tripura",2.0 out of 5 stars,2.0•Expected a better product,Reviewed in India on · 4 months ago,Bed
